name,state,city,address,lattitude,longitude,type
Neelkanth Star DC Charging Station,Haryana,Gurugram,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114 ",29.6,76.9803,12.0
Galleria DC Charging Station,Haryana,Gurugram,"DLF Phase IV, Sector 28, Gurugram, Haryana 122022",28.46,77.0818,12.0
Highway Xpress (Jaipur-Delhi) DC charging station,Rajasthan,Behror,"Jaipur to Delhi Road, Behror Midway, Behror, Rajasthan 301701",27.87,76.276,12.0
Food Carnival DC Charging Station,Uttar Pradesh,Khatauli,"Fun and Food Carnival, NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",29.31,77.7218,12.0
Food Carnival AC Charging Station,Uttar Pradesh,Khatauli,"NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",29.31,77.7218,12.0
Krishna Hansraj Hotel Una DC charging station ,Himachal Pradesh,Una,"Old Hoshiarpur Rd, Una, Himachal Pradesh 174303",31.46,76.2568,12.0
SG Jabli DC Charging Station,Himachal Pradesh,Kasauli,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",30.87,76.9948,12.0
SG Jabli  AC Charging Station,Himachal Pradesh,Kasauli,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",30.87,76.9948,12.0
SG Karnal DC Charging Station,Haryana,Karnal,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",29.73,76.9756,12.0
SG Karnal AC Charging Station,Haryana,Karnal,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",29.73,76.9756,12.0
Neelkanth Star AC charging  station,Haryana,karnal,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114 ",29.6,76.9803,12.0
Deep Brothers IOCL AC Charging Station,Haryana,Darbaripur,"Deep Brothers, Palra Road, Darbaripur",28.38,77.0063,12.0
Synergy Solutions AC Charging Station 2,Maharashtra,Pune,"Synergy Solutions, Shop No 9 , Modak Prasad, 410, Narayan Peth,Pune",18.53,73.8485,12.0
IOCL Rajokri Station,Delhi,New Delhi,"NH 8 Exit 4, Samalka, New Delhi, Delhi 110037",28.52,77.101,12.0
VEEV A2B Kallar,Tamil Nadu,Mettupalayam,"A2B, Kallar Road, Mettupalayam, Tamil Nadu",11.32,76.9163,12.0
VEEV Sathya Nursery,Tamil Nadu,Mettupalayam,"Kallar, Mettupalayam, Tamil Nadu",11.33,76.9027,12.0
